idx,correct,tokens,source,nothink_correct,nothink_tokens,nothink_early_stop,thinking_correct,thinking_tokens
157,True,62,nothink@256,True,62,True,True,331
158,True,84,nothink@256,True,84,True,True,454
159,True,152,nothink@256,True,152,True,True,328
160,True,93,nothink@256,True,93,True,True,315
161,True,156,nothink@256,True,156,True,True,322
162,True,93,nothink@256,True,93,True,True,432
163,True,57,nothink@256,True,57,True,True,528
164,True,119,nothink@256,True,119,True,False,544
165,True,117,nothink@256,True,117,True,True,528
166,True,72,nothink@256,True,72,True,False,544
167,True,175,nothink@256,True,175,True,True,530
168,True,60,nothink@256,True,60,True,True,373
169,True,158,nothink@256,True,158,True,True,286
170,True,147,nothink@256,True,147,True,True,515
171,True,123,nothink@256,True,123,True,True,526
172,False,191,nothink@256,False,191,True,False,544
173,True,85,nothink@256,True,85,True,True,375
174,True,83,nothink@256,True,83,True,True,280
175,True,138,nothink@256,True,138,True,True,471
176,True,140,nothink@256,True,140,True,False,487
177,True,121,nothink@256,True,121,True,True,519
178,True,163,nothink@256,True,163,True,False,544
179,True,152,nothink@256,True,152,True,True,245
180,True,111,nothink@256,True,111,True,True,530
181,True,106,nothink@256,True,106,True,False,544
182,True,130,nothink@256,True,130,True,True,363
183,True,224,nothink@256,True,224,True,True,471
184,True,229,nothink@256,True,229,True,False,544
185,True,74,nothink@256,True,74,True,False,544
186,True,124,nothink@256,True,124,True,True,532
187,True,130,nothink@256,True,130,True,True,519
188,True,121,nothink@256,True,121,True,True,425
189,True,85,nothink@256,True,85,True,True,521
190,True,239,nothink@256,True,239,True,False,544
191,True,196,nothink@256,True,196,True,False,544
192,True,70,nothink@256,True,70,True,True,505
193,True,154,nothink@256,True,154,True,False,544
194,True,76,nothink@256,True,76,True,True,544
195,True,157,nothink@256,True,157,True,False,544
196,True,214,nothink@256,True,214,True,False,544
197,True,77,nothink@256,True,77,True,True,528
198,True,165,nothink@256,True,165,True,True,430
199,True,212,nothink@256,True,212,True,True,530
