test_csv,idx,chosen_budget,best_budget,correct,tokens,utility,p_correct_128,p_correct_256,p_correct_512
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,34,256,256,1,269.0,0.92119140625,0.4244206042094779,0.6291877491664531,0.8108962228521274
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,35,256,256,1,271.0,0.92060546875,0.3715383962331875,0.6123356891349884,0.820361724514908
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,36,256,256,1,269.0,0.92119140625,0.4167709489587805,0.6049138049084328,0.8296278954457849
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,37,256,256,1,271.0,0.92060546875,0.43725622096713507,0.6342265852576439,0.8304874208875135
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,38,256,512,0,269.0,-0.07880859375,0.5168396245065916,0.72550769060832,0.8480636246803706
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,39,128,512,0,160.0,-0.046875,0.4626698058248565,0.6289182774296911,0.8061122022581946
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,0,256,256,1,269.0,0.92119140625,0.4124108680973244,0.6624523135395668,0.8319972235621403
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,1,512,512,1,516.0,0.848828125,0.29477039501164076,0.5614968873203643,0.7960529404677116
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,2,256,512,0,288.0,-0.08437499999999999,0.4256971847655561,0.7200763903542802,0.8652713803821246
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,3,512,128,0,525.0,-0.15380859375,0.29628028229501124,0.5503999830447561,0.7925708069794081
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,4,256,128,0,267.0,-0.07822265625,0.3863916485460456,0.6870140570877046,0.8249311902911145
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,5,256,256,1,269.0,0.92119140625,0.34844708837000743,0.6016832699372682,0.8225065046846057
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,6,256,256,1,269.0,0.92119140625,0.3961570102063099,0.6874473114428487,0.8599110954434326
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,7,256,128,1,271.0,0.92060546875,0.4847095764818336,0.7213312065568765,0.8843648016343779
