test_csv,idx,chosen_budget,best_budget,correct,tokens,utility
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,18,256,256,1,267.0,0.7392578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,19,256,128,0,269.0,-0.2626953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,20,512,128,1,425.0,0.5849609375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,21,512,256,1,529.0,0.4833984375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,22,512,512,1,523.0,0.4892578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,23,256,512,0,269.0,-0.2626953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,24,512,128,1,454.0,0.556640625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,25,512,512,1,525.0,0.4873046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,26,256,128,1,218.0,0.787109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,27,512,512,1,531.0,0.4814453125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,28,512,128,1,403.0,0.6064453125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,29,256,512,0,269.0,-0.2626953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,30,512,128,1,266.0,0.740234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,31,256,128,0,288.0,-0.28125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,32,256,128,0,267.0,-0.2607421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,33,256,128,1,288.0,0.71875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,34,256,128,1,269.0,0.7373046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,35,512,512,1,525.0,0.4873046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,36,512,512,1,544.0,0.46875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,37,256,128,1,269.0,0.7373046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,38,256,128,1,267.0,0.7392578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,39,256,512,0,269.0,-0.2626953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,0,512,128,0,529.0,-0.5166015625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,1,512,512,1,531.0,0.4814453125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,2,512,128,0,527.0,-0.5146484375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,3,512,128,1,457.0,0.5537109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,4,512,512,1,527.0,0.4853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,5,512,128,1,402.0,0.607421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,6,512,512,1,512.0,0.5
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,7,512,128,0,533.0,-0.5205078125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,8,512,256,1,454.0,0.556640625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,9,512,512,1,525.0,0.4873046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,10,512,128,1,283.0,0.7236328125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,11,512,512,1,516.0,0.49609375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,12,512,128,1,516.0,0.49609375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,13,512,128,1,527.0,0.4853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,14,512,128,1,390.0,0.619140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,15,512,128,1,523.0,0.4892578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,16,512,256,1,399.0,0.6103515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,17,512,128,0,544.0,-0.53125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,18,512,128,1,463.0,0.5478515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,19,512,128,1,264.0,0.7421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,20,512,256,1,358.0,0.650390625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,21,512,256,0,544.0,-0.53125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,22,512,256,1,516.0,0.49609375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,23,512,256,1,525.0,0.4873046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,24,512,128,1,527.0,0.4853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,25,512,128,1,507.0,0.5048828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,26,512,128,0,302.0,-0.294921875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,27,512,512,1,523.0,0.4892578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,28,512,512,1,523.0,0.4892578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,29,512,128,0,529.0,-0.5166015625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,30,512,128,1,313.0,0.6943359375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,31,512,128,1,516.0,0.49609375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,32,512,128,1,425.0,0.5849609375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,33,512,128,1,383.0,0.6259765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,34,512,256,1,378.0,0.630859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,35,512,512,1,544.0,0.46875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,36,512,128,1,364.0,0.64453125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,37,512,256,1,432.0,0.578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,38,512,256,1,434.0,0.576171875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165750.csv,39,512,128,1,533.0,0.4794921875
